Rk,Player,PA,R_prod,oWAR,dWAR,BtRuns,WAR/pos,WPA,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
301,Billy McKinney\mckinbi01,276,53,0.2,-0.4,-6,0.2,-1.958,2019,24,TOR,AL,84,251,37,54,14,1,12,28,19,0,73,2,2,2,0,0,2,.215,.274,.422,.696,*97H/3D
302,Jason Castro\castrja01,275,56,1.4,-0.2,1,0.7,-0.604,2019,32,MIN,AL,79,237,39,55,9,0,13,30,33,0,88,3,1,1,0,0,0,.232,.332,.435,.767,*2/H
303,Jordy Mercer\mercejo03,271,37,1.2,-0.3,-3,0.6,-0.246,2019,32,DET,AL,74,256,24,69,16,0,9,22,13,1,57,2,0,0,4,0,0,.270,.310,.438,.747,*6/43HD5
304,Travis Shaw\shawtr01,270,31,-1.2,0.1,-19,-1.2,-1.958,2019,29,MIL,NL,86,230,22,36,5,0,7,16,36,3,89,4,0,0,5,0,0,.157,.281,.270,.551,*5H/34
305,Cameron Maybin\maybica01,269,69,1.5,-0.2,10,1.6,-0.309,2019,32,NYY,AL,82,239,48,68,17,0,11,32,30,0,72,0,0,0,5,9,6,.285,.364,.494,.858,*79/H8D
306,Matt Beaty\beatyma01,268,73,0.5,-0.6,1,0.4,1.543,2019,26,LAD,NL,99,249,36,66,19,1,9,46,17,2,33,2,0,0,6,5,0,.265,.317,.458,.775,37H/5D9
307,Austin Nola\nolaau01,267,58,1.2,-0.1,6,1.4,0.260,2019,29,SEA,AL,79,238,37,64,12,1,10,31,23,1,63,4,1,1,8,1,0,.269,.342,.454,.796,*34/25H79
308,Leonys Martín\martile01,264,42,-0.3,0.2,-15,-0.2,-0.871,2019,31,CLE,AL,65,236,32,47,7,0,9,19,21,0,78,4,3,0,1,4,5,.199,.276,.343,.619,*8
309,Joey Wendle\wendljo01,263,48,0.4,0.7,-10,0.8,-0.888,2019,29,TBR,AL,75,238,32,55,13,2,3,19,14,0,47,8,0,3,4,8,3,.231,.293,.340,.633,*456/H9
310,Andrew McCutchen\mccutan01,262,64,1.3,0.2,6,1.6,1.123,2019,32,PHI,NL,59,219,45,56,12,1,10,29,43,0,55,0,0,0,1,2,1,.256,.378,.457,.834,*78/D
