Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
MikeTrout,Angels,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,180,90.9,7.1,68.2,-0.3,8.6,10155
AlexBregman,Astros,156,690,41,122,112,5,17.20%,12.00%,0.296,0.281,0.296,0.423,0.592,0.418,168,89.3,-2.1,58.2,4.8,8.5,17678
ChristianYelich,Brewers,130,580,44,100,97,30,13.80%,20.30%,0.342,0.355,0.329,0.429,0.671,0.442,174,93.3,8.5,65.2,-3.9,7.8,11477
CodyBellinger,Dodgers,156,660,47,121,115,15,14.40%,16.40%,0.324,0.302,0.305,0.406,0.629,0.415,162,91.1,1.4,55.2,3.4,7.8,15998
MarcusSemien,Athletics,162,747,33,123,92,10,11.60%,13.70%,0.237,0.294,0.285,0.369,0.522,0.373,137,88.9,1.7,37.4,14.1,7.6,12533
KetelMarte,Diamondbacks,144,628,32,97,92,10,8.40%,13.70%,0.264,0.342,0.329,0.389,0.592,0.405,150,90,4.2,46,6.7,7.1,13613
AnthonyRendon,Nationals,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,154,90.4,0.4,46.5,4.2,7,12861
XanderBogaerts,Red Sox,155,698,33,110,117,4,10.90%,17.50%,0.246,0.338,0.309,0.384,0.555,0.39,141,90.6,1,37.6,8.1,6.8,12161
MookieBetts,Red Sox,150,706,29,135,80,16,13.70%,14.30%,0.229,0.309,0.295,0.391,0.524,0.38,135,91,5.6,36.9,6.3,6.6,13611
GeorgeSpringer,Astros,122,556,39,96,96,6,12.10%,20.30%,0.299,0.305,0.292,0.383,0.591,0.4,156,89.8,0.9,40.8,6.4,6.5,12856
MattChapman,Athletics,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,125,92.7,0.9,22.4,17.1,6.1,16505
RafaelDevers,Red Sox,156,702,32,129,115,8,6.80%,17.00%,0.244,0.339,0.311,0.361,0.555,0.377,132,92.5,2.3,31.4,4.9,5.9,17350
